Cancer	Sample	Fusion	Junction	Spanning	Breakpoint1	Breakpoint2
ACC	TCGA-OR-A5J9-01A-11R-A29S-07	NCS1--GPR107	3	9	chr9:130172727:+	chr9:130127483:+
ACC	TCGA-OR-A5J9-01A-11R-A29S-07	RAD51B--BAZ1A	2	3	chr14:67887204:+	chr14:34758846:-
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	HELLPAR--NTN4	3	19	chr12:102315490:+	chr12:95683711:-
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	PAH--METAP2	4	10	chr12:102894735:-	chr12:95512801:+
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	VCP--FAM214B	5	6	chr9:35072337:-	chr9:35108737:-
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	NTN4--PAH	2	16	chr12:95682707:-	chr12:102894918:-
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	MIAT--CRYBA4	2	11	chr22:26657654:+	chr22:26630340:+
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	SLC44A2--LDLR	1	6	chr19:10635515:+	chr19:11131281:+
ACC	TCGA-OR-A5JA-01A-11R-A29S-07	FRS2--NTN4	1	4	chr12:69470530:+	chr12:95670146:-
ACC	TCGA-OR-A5JB-01A-11R-A29S-07	ST3GAL3--EBNA1BP2	6	5	chr1:43707693:+	chr1:43261918:-
ACC	TCGA-OR-A5JC-01A-11R-A29S-07	FAM19A4--LMOD3	3	9	chr3:68880730:-	chr3:69122409:-
ACC	TCGA-OR-A5JC-01A-11R-A29S-07	PPP2R5E--XRCC3	3	1	chr14:63415140:-	chr14:103711567:-
ACC	TCGA-OR-A5JC-01A-11R-A29S-07	HERC1--DAPK2	1	3	chr15:63664470:-	chr15:63983754:-
ACC	TCGA-OR-A5JD-01A-11R-A29S-07	MALAT1--FAM166A	15	79	chr11:65502076:+	chr9:137245222:-
ACC	TCGA-OR-A5JE-01A-11R-A29S-07	SETX--RAB14	7	18	chr9:132354917:-	chr9:121193419:-
ACC	TCGA-OR-A5JE-01A-11R-A29S-07	SLC12A4--DPEP2	1	19	chr16:67957742:-	chr16:67999748:-
ACC	TCGA-OR-A5JF-01A-11R-A29S-07	SNHG19--USP49	155	856	chr16:2155143:-	chr6:41799938:-
ACC	TCGA-OR-A5JF-01A-11R-A29S-07	FAM96B--CYFIP1	1	2	chr16:66933614:-	chr15:22932340:-
ACC	TCGA-OR-A5JK-01A-11R-A29S-07	JADE2--UBE2B	3	29	chr5:134526011:+	chr5:134390225:+
ACC	TCGA-OR-A5JK-01A-11R-A29S-07	ZBTB38--C17orf64	2	15	chr3:141369946:+	chr17:60431181:+
ACC	TCGA-OR-A5JK-01A-11R-A29S-07	MEG3--DLK1	1	1	chr14:100845533:+	chr14:100728396:+
ACC	TCGA-OR-A5JL-01A-11R-A29S-07	GTF2A1--POMT2	12	38	chr14:81220489:-	chr14:77302943:-
ACC	TCGA-OR-A5JL-01A-11R-A29S-07	ANO2--GALNT8	7	12	chr12:5732517:-	chr12:4850740:+
ACC	TCGA-OR-A5JM-01A-11R-A29S-07	TAF6L--PCYT1A	12	21	chr11:62771490:+	chr3:196242640:-
ACC	TCGA-OR-A5JM-01A-11R-A29S-07	SCARB2--SGMS1	3	15	chr4:76213427:-	chr10:50344345:-
ACC	TCGA-OR-A5JM-01A-11R-A29S-07	LIN7A--R3HDM2	3	1	chr12:80811465:-	chr12:57310463:-
ACC	TCGA-OR-A5JM-01A-11R-A29S-07	KIF5A--DTX1	1	6	chr12:57567618:+	chr12:113077424:+
ACC	TCGA-OR-A5JM-01A-11R-A29S-07	WBP1L--DLK1	1000	1000	chr10:102816267:+	chr14:100728421:+
ACC	TCGA-OR-A5JO-01A-11R-A29S-07	TMLHE--VBP1	1	13	chrX:155524456:-	chrX:155208874:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	LDLR--ZGLP1	421	7675	chr19:11089615:+	chr19:10308391:-
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	PEG3--DENR	35	260	chr19:56836070:-	chr12:122767588:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	ZIM2--DENR	35	260	chr19:56836070:-	chr12:122767588:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	ARMC9--BLVRB	40	215	chr2:231198698:+	chr19:40451492:-
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	SCAMP4--COX8A	10	287	chr19:1918990:+	chr11:63976225:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	MYLIP--OR5V1	7	74	chr6:16130747:+	chr6:29356277:-
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	ZC3H4--ARHGAP35	7	46	chr19:47110895:-	chr19:46987989:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	LAPTM4B--ARMC9	7	14	chr8:97776108:+	chr2:231355798:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	QSOX2--CTU2	4	25	chr9:136245476:-	chr16:88714860:+
ACC	TCGA-OR-A5JP-01A-11R-A29S-07	RECQL5--CACNA1G	1	6	chr17:75658298:-	chr17:50590471:+
ACC	TCGA-OR-A5JR-01A-11R-A29S-07	DLK1--MTCO1P12	1	53	chr14:100729066:+	chr1:631074:+
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	NSD1--EFNA5	26	92	chr5:177192019:+	chr5:107381376:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	GJC1--SKAP1	23	70	chr17:44807394:-	chr17:48189500:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	TLK2--CEP112	19	67	chr17:62608148:+	chr17:65689218:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	CCNG1--SLCO6A1	2	17	chr5:163444481:+	chr5:102373494:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	CCDC47--TERT	2	8	chr17:63773412:-	chr5:1282624:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	UIMC1--PJA2	3	4	chr5:176982469:-	chr5:109383520:-
ACC	TCGA-OR-A5JS-01A-11R-A29S-07	INTS2--GLIS3	1	10	chr17:61911520:-	chr9:3829492:-
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	PHF20--SPAG4	9	36	chr20:35899648:+	chr20:35619195:+
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	C4B--DLK1	1	15	chr6:32032133:+	chr14:100734648:+
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	ZNF341--C20orf144	2	8	chr20:33745299:+	chr20:33663532:+
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	CYC1--DLK1	1000	1000	chr8:144096010:+	chr14:100734465:+
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	RPL10--DLK1	1000	1000	chrX:154400201:+	chr14:100728950:+
ACC	TCGA-OR-A5JT-01A-11R-A29S-07	NKAIN4--IGF2	1000	1000	chr20:63240784:-	chr11:2132154:-
ACC	TCGA-OR-A5JV-01A-11R-A29S-07	ADGRV1--CLPTM1L	52	246	chr5:90985522:+	chr5:1318453:-
ACC	TCGA-OR-A5JX-01A-11R-A29S-07	APC--REEP2	1	8	chr5:112801383:+	chr5:138445683:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	GABRA5--NOV	34	244	chr15:26869334:+	chr8:119416386:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	CREB3L2--CPA2	30	97	chr7:138001604:-	chr7:130282104:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	COMT--YPEL1	10	58	chr22:19964299:+	chr22:21710908:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	HPS4--CABIN1	13	46	chr22:26479265:-	chr22:24164400:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	ASCC3--TXNRD2	13	9	chr6:100604631:-	chr22:19941897:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	UBE2J1--CFAP206	4	29	chr6:89352539:-	chr6:87464020:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	PAFAH1B2--RRP7BP	3	21	chr11:117144418:+	chr22:42580359:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	MGA--NUSAP1	4	9	chr15:41699159:+	chr15:41349098:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	FGD4--SLCO1A2	2	16	chr12:32399959:+	chr12:21334709:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	VPS26B--C15orf41	2	14	chr11:134240155:+	chr15:36644278:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	UBR2--PXT1	1	17	chr6:42674193:+	chr6:36400584:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	WWOX--CDH3	2	11	chr16:78164289:+	chr16:68722425:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	KCTD18--PLCL1	2	9	chr2:200497753:-	chr2:198355295:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	PKIB--BLK	1	12	chr6:122633367:+	chr8:11561302:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	TBL1XR1--ATG7	2	4	chr3:177160871:-	chr3:11554811:+
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	LIPH--EHHADH	1	4	chr3:185552423:-	chr3:185193487:-
ACC	TCGA-OR-A5JY-01A-31R-A29S-07	MBD3--PALM	1	4	chr19:1582622:-	chr19:726138:+
ACC	TCGA-OR-A5JZ-01A-11R-A29S-07	C5orf56--SGF29	11	33	chr5:132419940:+	chr16:28581055:+
ACC	TCGA-OR-A5JZ-01A-11R-A29S-07	MADD--POU2AF1	3	58	chr11:47326858:+	chr11:111358882:-
ACC	TCGA-OR-A5JZ-01A-11R-A29S-07	LRFN5--SNORA31	3	15	chr14:41608562:+	chr14:41594478:+
ACC	TCGA-OR-A5JZ-01A-11R-A29S-07	SPEF2--C5orf42	2	6	chr5:35659207:+	chr5:37224740:-
ACC	TCGA-OR-A5K0-01A-11R-A29S-07	MBTPS1--SLC38A8	35	76	chr16:84116735:-	chr16:84016727:-
ACC	TCGA-OR-A5K2-01A-11R-A29S-07	NFIC--SPATA33	12	42	chr19:3359685:+	chr16:89669286:+
ACC	TCGA-OR-A5K2-01A-11R-A29S-07	MICAL3--TPTEP1	1	7	chr22:17816690:-	chr22:16697496:+
ACC	TCGA-OR-A5K2-01A-11R-A29S-07	TLCD2--LRP5	2	2	chr17:1709499:-	chr11:68409914:+
ACC	TCGA-OR-A5K4-01A-11R-A29S-07	PCMTD2--WASHC1	1000	1000	chr20:64287821:+	chr9:29739:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	OAZ1--AMH	77	192	chr19:2269590:+	chr19:2250191:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	SIK3--CTNNBIP1	15	83	chr11:117098143:-	chr1:9850776:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	LDLR--CCDC130	9	79	chr19:11089615:+	chr19:13732175:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	BRK1--FANCD2	9	70	chr3:10115819:+	chr3:10096326:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	TXNDC11--CIB4	9	43	chr16:11736017:-	chr2:26640567:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	RAB8A--PLVAP	7	42	chr19:16112025:+	chr19:17366195:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	ZDHHC19--PCYT1A	4	50	chr3:196207398:-	chr3:196214498:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	TMEM87B--MERTK	4	23	chr2:112060037:+	chr2:112028351:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	KCMF1--RAB1A	3	13	chr2:84971467:+	chr2:65098066:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	MSH5--BSCL2	4	9	chr6:31759177:+	chr11:62692797:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	SENP2--MSH5	3	8	chr3:185599024:+	chr6:31758766:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	BTRC--MICU1	2	7	chr10:101354228:+	chr10:72566794:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	RPRD1B--MEF2B	1	10	chr20:38066256:+	chr19:19157142:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	TXNDC11--BAMBI	1	10	chr16:11742477:-	chr10:28681258:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	ARMC9--NPAS1	1	9	chr2:231198941:+	chr19:47021006:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	DPY30--MCU	1	9	chr2:31917926:-	chr10:72834359:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	MEMO1--MCU	1	9	chr2:31917926:-	chr10:72834359:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	MYO1F--LRSAM1	2	5	chr19:8577307:-	chr9:127451929:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	ZC3H8--PARD3B	2	2	chr2:112230903:-	chr2:205158722:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	FRA10AC1--GCA	1	3	chr10:93684056:-	chr2:162352338:+
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	KCNMA1--SERTAD1	1	3	chr10:77637265:-	chr19:40423546:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	MINDY3--CRYGD	1	2	chr10:15843212:-	chr2:208124354:-
ACC	TCGA-OR-A5K5-01A-11R-A29S-07	TMEM182--SCN3A	1	2	chr2:102764427:+	chr2:165164520:-
ACC	TCGA-OR-A5K6-01A-11R-A29S-07	ERN1--TEX2	26	236	chr17:64063986:-	chr17:64160933:-
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	ANKRD52--RASSF3	9	39	chr12:56243238:-	chr12:64691470:+
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	OLFM2--PLEKHG4B	5	31	chr19:9936304:-	chr5:113251:+
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	PALM--SGTA	1	21	chr19:719657:+	chr19:2769091:-
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	MLLT1--PRLR	1	9	chr19:6270579:-	chr5:35118122:-
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	FAM19A2--IKZF4	1	6	chr12:62191259:-	chr12:56025054:+
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	ANKRD52--DYRK2	1	3	chr12:56247493:-	chr12:67657106:+
ACC	TCGA-OR-A5K9-01A-11R-A29S-07	SUGP1--CASP14	1	1	chr19:19316422:-	chr19:15052206:+
ACC	TCGA-OR-A5KO-01A-11R-A29S-07	SYNJ2--COX4I1	4	4	chr6:158068728:+	chr16:85806827:+
ACC	TCGA-OR-A5KO-01A-11R-A29S-07	NT5DC1--SLC35F1	1	7	chr6:116117945:+	chr6:118266995:+
ACC	TCGA-OR-A5KO-01A-11R-A29S-07	FLYWCH1--TVP23A	1000	1000	chr16:2940092:+	chr16:10818768:-
ACC	TCGA-OR-A5KT-01A-11R-A29S-07	PYM1--SLC16A7	18	80	chr12:55903387:-	chr12:59779423:+
ACC	TCGA-OR-A5KT-01A-11R-A29S-07	SLC16A7--SARNP	15	28	chr12:59596236:+	chr12:55760640:-
ACC	TCGA-OR-A5KT-01A-11R-A29S-07	SPATS2--TSPAN8	1	6	chr12:49514613:+	chr12:71139848:-
ACC	TCGA-OR-A5KV-01A-11R-A29S-07	KDM6A--FUNDC1	47	405	chrX:44974715:+	chrX:44542101:-
ACC	TCGA-OR-A5KV-01A-11R-A29S-07	JADE3--SSX2	38	214	chrX:47058345:+	chrX:52700578:-
ACC	TCGA-OR-A5KV-01A-11R-A29S-07	REPS2--APOO	3	6	chrX:16947134:+	chrX:23880952:-
ACC	TCGA-OR-A5KV-01A-11R-A29S-07	GNL3L--PAGE5	1	4	chrX:54532585:+	chrX:55221375:+
ACC	TCGA-OR-A5KW-01A-11R-A29S-07	BRMS1L--ZNF839	2	17	chr14:35834923:+	chr14:102338816:+
ACC	TCGA-OR-A5KW-01A-11R-A29S-07	ARFGAP2--PACSIN3	1	2	chr11:47171426:-	chr11:47178487:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	ARHGAP23--RPL23	6	24	chr17:38482678:+	chr17:38853105:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	FN3KRP--KCNQ1	3	34	chr17:82726602:+	chr11:2847767:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	PPP1R16A--SLC52A2	4	26	chr8:144490212:+	chr8:144360115:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	PPP3R1--WDR92	5	9	chr2:68252125:-	chr2:68144715:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	FKBP8--HAUS8	4	9	chr19:18541679:-	chr19:17073335:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	GIPC1--CYP4F22	1	12	chr19:14491656:-	chr19:15548108:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	ZNF626--ADGRE5	1	12	chr19:20661444:-	chr19:14388450:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	CDH12--BNIP3L	1	11	chr5:22505270:-	chr8:26505307:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	PRLR--CDH12	1	10	chr5:35118061:-	chr5:22505364:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	CDK12--LRRC37A11P	1	9	chr17:39463117:+	chr17:39034170:+
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	ASF1B--GIPC1	1	5	chr19:14136348:-	chr19:14491743:-
ACC	TCGA-OR-A5KX-01A-11R-A29S-07	DNAJC21--SGCZ	1	5	chr5:34929916:+	chr8:14324204:-
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	CHD3--RAD51C	17	88	chr17:7893935:+	chr17:58709859:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	PPP1R37--BCAM	14	54	chr19:45093527:+	chr19:44811225:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	B4GALT5--ASIP	12	32	chr20:49713576:-	chr20:34260365:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	TSPAN18--PIK3R2	8	37	chr11:44727287:+	chr19:18166160:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	ASB3--MTA3	4	15	chr2:53786821:-	chr2:42640173:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	FHOD3--ESRRB	2	22	chr18:36372744:+	chr14:76482016:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	ALDH3A2--EIF5A	2	21	chr17:19671956:+	chr17:7309615:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	AMBRA1--LRP4	1	21	chr11:46493608:-	chr11:46876830:-
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	AHSA2--C2orf74	3	10	chr2:61186497:+	chr2:61162842:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	TMEM248--ATOH8	2	12	chr7:66942024:+	chr2:85763991:+
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	ALDH2--ACTB	1	10	chr12:111798242:+	chr7:5529663:-
ACC	TCGA-OR-A5KY-01A-11R-A29S-07	CTDNEP1--SHBG	1	2	chr17:7246026:-	chr17:7630416:+
ACC	TCGA-OR-A5KZ-01A-11R-A29S-07	VPS41--CEP41	3	23	chr7:38754702:-	chr7:130428018:-
ACC	TCGA-OR-A5KZ-01A-11R-A29S-07	UBR2--NDUFS2	1	1	chr6:42642481:+	chr1:161214156:+
ACC	TCGA-OR-A5L6-01A-11R-A29S-07	PLBD2--CIDEC	25	95	chr12:113358890:+	chr3:9878511:-
ACC	TCGA-OR-A5L6-01A-11R-A29S-07	CLK1--NAPRT	11	82	chr2:200854616:-	chr8:143577943:-
ACC	TCGA-OR-A5LB-01A-11R-A29S-07	FAM19A4--TMF1	14	63	chr3:68880730:-	chr3:69048562:-
ACC	TCGA-OR-A5LB-01A-11R-A29S-07	LMBR1--CHMP1A	2	1	chr7:156724112:-	chr16:89647331:-
ACC	TCGA-OR-A5LD-01A-11R-A29S-07	ZXDC--UROC1	3	10	chr3:126466155:-	chr3:126482485:-
ACC	TCGA-OR-A5LD-01A-11R-A29S-07	AUTS2--CDH8	1	5	chr7:70698620:+	chr16:61901473:-
ACC	TCGA-OR-A5LD-01A-11R-A29S-07	KIF18B--C1QL1	1	3	chr17:44947628:-	chr17:44960367:-
ACC	TCGA-OR-A5LE-01A-11R-A29S-07	CCDC117--TNNI2	31	76	chr22:28773025:+	chr11:1841272:+
ACC	TCGA-OR-A5LG-01A-11R-A29S-07	MAP3K9--MED6	3	33	chr14:70749933:-	chr14:70593378:-
ACC	TCGA-OR-A5LG-01A-11R-A29S-07	MED6--MAP3K9	2	22	chr14:70596611:-	chr14:70761182:-
