OncogeneID	OncogeneName	Alias	Links	Cytoband	FullName	GeneType
3717	JAK2	JTK10|THCYT3	MIM:147796|HGNC:HGNC:6192|Ensembl:ENSG00000096968|HPRD:00993|Vega:OTTHUMG00000019490	9p24	Janus kinase 2	protein-coding
3265	HRAS	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	MIM:190020|HGNC:HGNC:5173|Ensembl:ENSG00000174775|HPRD:01813|Vega:OTTHUMG00000131919	11p15.5	Harvey rat sarcoma viral oncogene homolog	protein-coding
25	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007|HPRD:01809|Vega:OTTHUMG00000020813	9q34.1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
238	ALK	CD246|NBLST3	MIM:105590|HGNC:HGNC:427|Ensembl:ENSG00000171094|HPRD:00104|Vega:OTTHUMG00000152034	2p23	anaplastic lymphoma receptor tyrosine kinase	protein-coding
2263	FGFR2	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	MIM:176943|HGNC:HGNC:3689|Ensembl:ENSG00000066468|HPRD:01492|Vega:OTTHUMG00000019175	10q26	fibroblast growth factor receptor 2	protein-coding
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	MIM:164730|HGNC:HGNC:391|Ensembl:ENSG00000142208|HPRD:01261|Vega:OTTHUMG00000170795	14q32.32	v-akt murine thymoma viral oncogene homolog 1	protein-coding
1436	CSF1R	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	MIM:164770|HGNC:HGNC:2433|Ensembl:ENSG00000182578|HPRD:01269|Vega:OTTHUMG00000130050	5q32	colony stimulating factor 1 receptor	protein-coding
9314	KLF4	EZF|GKLF	MIM:602253|HGNC:HGNC:6348|Ensembl:ENSG00000136826|Vega:OTTHUMG00000020449	9q31	Kruppel-like factor 4 (gut)	protein-coding
9232	PTTG1	EAP1|HPTTG|PTTG|TUTR1	MIM:604147|HGNC:HGNC:9690|Ensembl:ENSG00000164611|HPRD:04998|Vega:OTTHUMG00000130328	5q35.1	pituitary tumor-transforming 1	protein-coding
9098	USP6	HRP1|TRE17|TRE2|TRESMCR|Tre-2|USP6-short	MIM:604334|HGNC:HGNC:12629|Ensembl:ENSG00000129204|HPRD:06827|Vega:OTTHUMG00000099449	17p13	ubiquitin specific peptidase 6	protein-coding
8725	URI1	C19orf2|NNX3|PPP1R19|RMP|URI	MIM:603494|HGNC:HGNC:13236|Ensembl:ENSG00000105176|HPRD:11943|Vega:OTTHUMG00000177923	19q12	URI1 prefoldin-like chaperone	protein-coding
865	CBFB	PEBP2B	MIM:121360|HGNC:HGNC:1539|Ensembl:ENSG00000067955|HPRD:00418|Vega:OTTHUMG00000137520	16q22.1	core-binding factor, beta subunit	protein-coding
862	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	MIM:133435|HGNC:HGNC:1535|Ensembl:ENSG00000079102|HPRD:00590|Vega:OTTHUMG00000164066	8q22	runt related transcription factor 1; translocated to, 1 (cyclin D related)	protein-coding
861	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|HPRD:01043|Vega:OTTHUMG00000086299	21q22.3	runt related transcription factor 1	protein-coding
84433	CARD11	BENTA|BIMP3|CARMA1|IMD11|PPBL	MIM:607210|HGNC:HGNC:16393|Ensembl:ENSG00000198286|HPRD:06234|Vega:OTTHUMG00000023023	7p22	caspase recruitment domain family member 11	protein-coding
8328	GFI1B	BDPLT17|ZNF163B	MIM:604383|HGNC:HGNC:4238|Ensembl:ENSG00000165702|HPRD:05088|Vega:OTTHUMG00000020848	9q34.13	growth factor independent 1B transcription repressor	protein-coding
8115	TCL1A	TCL1	MIM:186960|HGNC:HGNC:11648|Ensembl:ENSG00000100721|HPRD:01744|Vega:OTTHUMG00000171390	14q32.1	T-cell leukemia/lymphoma 1A	protein-coding
8091	HMGA2	BABL|HMGI-C|HMGIC|LIPO|STQTL9	MIM:600698|HGNC:HGNC:5009|Ensembl:ENSG00000149948|HPRD:02827|Vega:OTTHUMG00000168936	12q15	high mobility group AT-hook 2	protein-coding
8031	NCOA4	ARA70|ELE1|PTC3|RFG	MIM:601984|HGNC:HGNC:7671|Ensembl:ENSG00000266412|HPRD:03584|Vega:OTTHUMG00000188314	10q11.2	nuclear receptor coactivator 4	protein-coding
7994	KAT6A	MOZ|MRD32|MYST-3|MYST3|RUNXBP2|ZC2HC6A|ZNF220	MIM:601408|HGNC:HGNC:13013|Ensembl:ENSG00000083168|HPRD:03244|Vega:OTTHUMG00000150453	8p11	lysine acetyltransferase 6A	protein-coding
7913	DEK	D6S231E	MIM:125264|HGNC:HGNC:2768|Ensembl:ENSG00000124795|HPRD:00503|Vega:OTTHUMG00000014319	6p22.3	DEK proto-oncogene	protein-coding
7525	YES1	HsT441|P61-YES|Yes|c-yes	MIM:164880|HGNC:HGNC:12841|Ensembl:ENSG00000176105|HPRD:01285|Vega:OTTHUMG00000131472	18p11.31-p11.21	YES proto-oncogene 1, Src family tyrosine kinase	protein-coding
6886	TAL1	SCL|TCL5|bHLHa17|tal-1	MIM:187040|HGNC:HGNC:11556|Ensembl:ENSG00000162367|HPRD:01753|Vega:OTTHUMG00000007847	1p32	T-cell acute lymphocytic leukemia 1	protein-coding
6790	AURKA	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	MIM:603072|HGNC:HGNC:11393|Ensembl:ENSG00000087586|HPRD:04066|HPRD:04352|Vega:OTTHUMG00000032796	20q13	aurora kinase A	protein-coding
6760	SS18	SSXT|SYT	MIM:600192|HGNC:HGNC:11340|Ensembl:ENSG00000141380|HPRD:02559|Vega:OTTHUMG00000179425	18q11.2	synovial sarcoma translocation, chromosome 18	protein-coding
6714	SRC	ASV|SRC1|c-SRC|p60-Src	MIM:190090|HGNC:HGNC:11283|Ensembl:ENSG00000197122|HPRD:01819|Vega:OTTHUMG00000032417	20q12-q13	SRC proto-oncogene, non-receptor tyrosine kinase	protein-coding
6608	SMO	FZD11|Gx|SMOH	MIM:601500|HGNC:HGNC:11119|Ensembl:ENSG00000128602|HPRD:03294|Vega:OTTHUMG00000158421	7q32.3	smoothened, frizzled class receptor	protein-coding
6497	SKI	SGS|SKV	MIM:164780|HGNC:HGNC:10896|Ensembl:ENSG00000157933|HPRD:01271|Vega:OTTHUMG00000001407	1p36.33	SKI proto-oncogene	protein-coding
648	BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	MIM:164831|HGNC:HGNC:1066|Ensembl:ENSG00000168283|HPRD:01277|Vega:OTTHUMG00000017807	10p11.23	BMI1 proto-oncogene, polycomb ring finger	protein-coding
64324	NSD1	ARA267|KMT3B|SOTOS|SOTOS1|STO	MIM:606681|HGNC:HGNC:14234|Ensembl:ENSG00000165671|HPRD:09455|Vega:OTTHUMG00000130846	5q35	nuclear receptor binding SET domain protein 1	protein-coding
6427	SRSF2	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	MIM:600813|HGNC:HGNC:10783|Ensembl:ENSG00000161547|HPRD:02888|Vega:OTTHUMG00000177547	17q25.1	serine/arginine-rich splicing factor 2	protein-coding
613	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	MIM:151410|HGNC:HGNC:1014|Ensembl:ENSG00000186716|HPRD:01044|Vega:OTTHUMG00000150655	22q11.23	breakpoint cluster region	protein-coding
6098	ROS1	MCF3|ROS|c-ros-1	MIM:165020|HGNC:HGNC:10261|Ensembl:ENSG00000047936|HPRD:01295|Vega:OTTHUMG00000016188	6q22	ROS proto-oncogene 1 , receptor tyrosine kinase	protein-coding
604	BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	MIM:109565|HGNC:HGNC:1001|Ensembl:ENSG00000113916|HPRD:00180|Vega:OTTHUMG00000156441	3q27	B-cell CLL/lymphoma 6	protein-coding
602	BCL3	BCL4|D19S37	MIM:109560|HGNC:HGNC:998|Ensembl:ENSG00000069399|HPRD:00179|Vega:OTTHUMG00000151517	19q13.32	B-cell CLL/lymphoma 3	protein-coding
595	CCND1	BCL1|D11S287E|PRAD1|U21B31	MIM:168461|HGNC:HGNC:1582|Ensembl:ENSG00000110092|HPRD:01346|Vega:OTTHUMG00000167877	11q13	cyclin D1	protein-coding
5894	RAF1	CMD1NN|CRAF|NS5|Raf-1|c-Raf	MIM:164760|HGNC:HGNC:9829|Ensembl:ENSG00000132155|HPRD:01265|Vega:OTTHUMG00000129789	3p25	Raf-1 proto-oncogene, serine/threonine kinase	protein-coding
5781	PTPN11	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	MIM:176876|HGNC:HGNC:9644|Ensembl:ENSG00000179295|HPRD:01470|Vega:OTTHUMG00000134334	12q24	protein tyrosine phosphatase, non-receptor type 11	protein-coding
574032	MIR20B	MIRN20B|hsa-mir-20b|mir-20b	MIM:300950|HGNC:HGNC:32024|Ensembl:ENSG00000207710|miRBase:MI0001519	Xq26.2	microRNA 20b	ncRNA
5584	PRKCI	DXS1179E|PKCI|nPKC-iota	MIM:600539|HGNC:HGNC:9404|Ensembl:ENSG00000163558|HPRD:02105|Vega:OTTHUMG00000150214	3q26.3	protein kinase C iota	protein-coding
5518	PPP2R1A	MRD36|PP2A-Aalpha|PP2AAALPHA|PR65A	MIM:605983|HGNC:HGNC:9302|HPRD:16184	19q13.41	protein phosphatase 2 regulatory subunit A, alpha	protein-coding
5371	PML	MYL|PP8675|RNF71|TRIM19	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|HPRD:00023|Vega:OTTHUMG00000137607	15q22	promyelocytic leukemia	protein-coding
5324	PLAG1	PSA|SGPA|ZNF912	MIM:603026|HGNC:HGNC:9045|Ensembl:ENSG00000181690|HPRD:04321|Vega:OTTHUMG00000164310	8q12	PLAG1 zinc finger	protein-coding
5292	PIM1	PIM	MIM:164960|HGNC:HGNC:8986|Ensembl:ENSG00000137193|HPRD:01292|Vega:OTTHUMG00000016426	6p21.2	Pim-1 proto-oncogene, serine/threonine kinase	protein-coding
4914	NTRK1	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	MIM:191315|HGNC:HGNC:8031|Ensembl:ENSG00000198400|HPRD:01869|Vega:OTTHUMG00000041304	1q21-q22	neurotrophic tyrosine kinase, receptor, type 1	protein-coding
4613	MYCN	MODED|N-myc|NMYC|ODED|bHLHe37	MIM:164840|HGNC:HGNC:7559|Ensembl:ENSG00000134323|HPRD:01278|Vega:OTTHUMG00000039579	2p24.3	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	protein-coding
4609	MYC	MRTL|MYCC|bHLHe39|c-Myc	MIM:190080|HGNC:HGNC:7553|Ensembl:ENSG00000136997|HPRD:01818|Vega:OTTHUMG00000128475	8q24.21	v-myc avian myelocytomatosis viral oncogene homolog	protein-coding
4602	MYB	Cmyb|c-myb|c-myb_CDS|efg	MIM:189990|HGNC:HGNC:7545|Ensembl:ENSG00000118513|HPRD:01810|Vega:OTTHUMG00000015629	6q22-q23	MYB proto-oncogene, transcription factor	protein-coding
442918	MIR373	MIRN373|hsa-mir-373|miRNA373|mir-373	MIM:611954|HGNC:HGNC:31787|Ensembl:ENSG00000199143|miRBase:MI0000781	19q13.42	microRNA 373	ncRNA
442917	MIR372	MIRN372|hsa-mir-372	MIM:612044|HGNC:HGNC:31786|Ensembl:ENSG00000199095|miRBase:MI0000780	19q13.42	microRNA 372	ncRNA
4352	MPL	C-MPL|CD110|MPLV|THCYT2|TPOR	MIM:159530|HGNC:HGNC:7217|HPRD:01161	1p34	MPL proto-oncogene, thrombopoietin receptor	protein-coding
4342	MOS	MSV	MIM:190060|HGNC:HGNC:7199|Ensembl:ENSG00000172680|HPRD:01816|Vega:OTTHUMG00000164299	8q11	v-mos Moloney murine sarcoma viral oncogene homolog	protein-coding
4300	MLLT3	AF9|YEATS3	MIM:159558|HGNC:HGNC:7136|Ensembl:ENSG00000171843|HPRD:01163|Vega:OTTHUMG00000019650	9p22	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	protein-coding
4299	AFF1	AF4|MLLT2|PBM1	MIM:159557|HGNC:HGNC:7135|Ensembl:ENSG00000172493|HPRD:08871|Vega:OTTHUMG00000130603	4q21	AF4/FMR2 family member 1	protein-coding
4297	KMT2A	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL-AF9|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	MIM:159555|HGNC:HGNC:7132|Ensembl:ENSG00000118058|HPRD:01162|Vega:OTTHUMG00000166337	11q23	lysine methyltransferase 2A	protein-coding
4193	MDM2	ACTFS|HDMX|hdm2	MIM:164785|HGNC:HGNC:6973|Ensembl:ENSG00000135679|HPRD:01272	12q14.3-q15	MDM2 proto-oncogene, E3 ubiquitin protein ligase	protein-coding
4168	MCF2	ARHGEF21|DBL	MIM:311030|HGNC:HGNC:6940|Ensembl:ENSG00000101977|HPRD:02406|Vega:OTTHUMG00000022537	Xq27	MCF.2 cell line derived transforming sequence	protein-coding
4142	MAS1	MAS|MGRA	MIM:165180|HGNC:HGNC:6899|HPRD:01306	6q25.3-q26	MAS1 proto-oncogene, G protein-coupled receptor	protein-coding
414060	TBC1D3C	TBC1D3D	MIM:610806|HGNC:HGNC:24889|Ensembl:ENSG00000278299|HPRD:17559|Vega:OTTHUMG00000188484	17q12	TBC1 domain family member 3C	protein-coding
4094	MAF	AYGRP|CCA4|CTRCT21|c-MAF	MIM:177075|HGNC:HGNC:6776|Ensembl:ENSG00000178573|HPRD:01518|Vega:OTTHUMG00000137621	16q22-q23	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	protein-coding
407018	MIR27A	MIR27|MIRN27A|mir-27a	MIM:612153|HGNC:HGNC:31613|Ensembl:ENSG00000207808|miRBase:MI0000085	19p13.13	microRNA 27a	ncRNA
407007	MIR222	MIRN222|miRNA222|mir-222	MIM:300569|HGNC:HGNC:31602|Ensembl:ENSG00000207725|miRBase:MI0000299	Xp11.3	microRNA 222	ncRNA
407006	MIR221	MIRN221|miRNA221|mir-221	MIM:300568|HGNC:HGNC:31601|Ensembl:ENSG00000207870|miRBase:MI0000298	Xp11.3	microRNA 221	ncRNA
406991	MIR21	MIRN21|hsa-mir-21|miR-21|miRNA21	MIM:611020|HGNC:HGNC:31586|Ensembl:ENSG00000199004|miRBase:MI0000077	17q23.1	microRNA 21	ncRNA
406947	MIR155	MIRN155|miRNA155|mir-155	MIM:609337|HGNC:HGNC:31542|Ensembl:ENSG00000275402|miRBase:MI0000681	21q21.3	microRNA 155	ncRNA
406942	MIR150	MIRN150|miRNA150|mir-150	MIM:611114|HGNC:HGNC:31537|miRBase:MI0000479	19q13.33	microRNA 150	ncRNA
406901	MIR107	MIRN107|miR-107	MIM:613189|HGNC:HGNC:31496|Ensembl:ENSG00000198997|miRBase:MI0000114	10q23.31	microRNA 107	ncRNA
4005	LMO2	RBTN2|RBTNL1|RHOM2|TTG2	MIM:180385|HGNC:HGNC:6642|Ensembl:ENSG00000135363|HPRD:01586|Vega:OTTHUMG00000157176	11p13	LIM domain only 2	protein-coding
3725	JUN	AP-1|AP1|c-Jun	MIM:165160|HGNC:HGNC:6204|Ensembl:ENSG00000177606|HPRD:01302|Vega:OTTHUMG00000008376	1p32-p31	jun proto-oncogene	protein-coding
3205	HOXA9	ABD-B|HOX1|HOX1.7|HOX1G	MIM:142956|HGNC:HGNC:5109|Ensembl:ENSG00000078399|HPRD:00844|Vega:OTTHUMG00000023220	7p15.2	homeobox A9	protein-coding
2778	GNAS	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|POH|SCG6|SgVI	MIM:139320|HGNC:HGNC:4392|Ensembl:ENSG00000087460|HPRD:00761|Vega:OTTHUMG00000033069	20q13.3	GNAS complex locus	protein-coding
2735	GLI1	GLI	MIM:165220|HGNC:HGNC:4317|Ensembl:ENSG00000111087|HPRD:01311|Vega:OTTHUMG00000167332	12q13.3	GLI family zinc finger 1	protein-coding
26040	SETBP1	MRD29|SEB	MIM:611060|HGNC:HGNC:15573|Ensembl:ENSG00000152217|HPRD:10224|Vega:OTTHUMG00000132613	18q21.1	SET binding protein 1	protein-coding
25937	WWTR1	TAZ	MIM:607392|HGNC:HGNC:24042|Ensembl:ENSG00000018408|HPRD:09580|Vega:OTTHUMG00000159614	3q23-q24	WW domain containing transcription regulator 1	protein-coding
25875	LETMD1	1110019O13Rik|HCCR-1|HCCR-2|HCCR1|HCRR-2	HGNC:HGNC:24241|Ensembl:ENSG00000050426|HPRD:09978|Vega:OTTHUMG00000169538	12q13.12	LETM1 domain containing 1	protein-coding
2521	FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	MIM:137070|HGNC:HGNC:4010|Ensembl:ENSG00000089280|HPRD:00660|Vega:OTTHUMG00000132395	16p11.2	FUS RNA binding protein	protein-coding
23598	PATZ1	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	MIM:605165|HGNC:HGNC:13071|Ensembl:ENSG00000100105|HPRD:05522|Vega:OTTHUMG00000151254	22q12.2	POZ/BTB and AT hook containing zinc finger 1	protein-coding
2353	FOS	AP-1|C-FOS|p55	MIM:164810|HGNC:HGNC:3796|Ensembl:ENSG00000170345|HPRD:01275|Vega:OTTHUMG00000171774	14q24.3	FBJ murine osteosarcoma viral oncogene homolog	protein-coding
23512	SUZ12	CHET9|JJAZ1	MIM:606245|HGNC:HGNC:17101|Ensembl:ENSG00000178691|HPRD:06949|Vega:OTTHUMG00000132813	17q11.2	SUZ12 polycomb repressive complex 2 subunit	protein-coding
2322	FLT3	CD135|FLK-2|FLK2|STK1	MIM:136351|HGNC:HGNC:3765|Ensembl:ENSG00000122025|HPRD:00635|Vega:OTTHUMG00000016646	13q12	fms related tyrosine kinase 3	protein-coding
2313	FLI1	EWSR2|SIC-1	MIM:193067|HGNC:HGNC:3749|Ensembl:ENSG00000151702|HPRD:01901|Vega:OTTHUMG00000165792	11q24.1-q24.3	Fli-1 proto-oncogene, ETS transcription factor	protein-coding
2242	FES	FPS	MIM:190030|HGNC:HGNC:3657|Ensembl:ENSG00000182511|HPRD:01814|Vega:OTTHUMG00000044456	15q26.1	FES proto-oncogene, tyrosine kinase	protein-coding
2146	EZH2	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2	MIM:601573|HGNC:HGNC:3527|Ensembl:ENSG00000106462|HPRD:03342|Vega:OTTHUMG00000158973	7q35-q36	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein-coding
2130	EWSR1	EWS|EWS-FLI1|bK984G1.4	MIM:133450|HGNC:HGNC:3508|Ensembl:ENSG00000182944|HPRD:00592|Vega:OTTHUMG00000151107	22q12.2	EWS RNA binding protein 1	protein-coding
2120	ETV6	TEL|TEL/ABL|THC5	MIM:600618|HGNC:HGNC:3495|Ensembl:ENSG00000139083|HPRD:15976|Vega:OTTHUMG00000168538	12p13	ETS variant 6	protein-coding
2114	ETS2	ETS2IT1	MIM:164740|HGNC:HGNC:3489|Ensembl:ENSG00000157557|HPRD:01263|Vega:OTTHUMG00000090769	21q22.2	ETS proto-oncogene 2, transcription factor	protein-coding
2113	ETS1	ETS-1|EWSR2|c-ets-1|p54	MIM:164720|HGNC:HGNC:3488|Ensembl:ENSG00000134954|HPRD:01260|Vega:OTTHUMG00000165799	11q23.3	ETS proto-oncogene 1, transcription factor	protein-coding
2064	ERBB2	CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1	MIM:164870|HGNC:HGNC:3430|Ensembl:ENSG00000141736|HPRD:01281|Vega:OTTHUMG00000179300	17q12	erb-b2 receptor tyrosine kinase 2	protein-coding
1956	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	MIM:131550|HGNC:HGNC:3236|Ensembl:ENSG00000146648|HPRD:00579|Vega:OTTHUMG00000023661	7p12	epidermal growth factor receptor	protein-coding
1649	DDIT3	CEBPZ|CHOP|CHOP-10|CHOP10|GADD153	MIM:126337|HGNC:HGNC:2726|Ensembl:ENSG00000175197|HPRD:00529|Vega:OTTHUMG00000170046	12q13.1-q13.2	DNA damage inducible transcript 3	protein-coding
1499	CTNNB1	CTNNB|MRD19|armadillo	MIM:116806|HGNC:HGNC:2514|Ensembl:ENSG00000168036|HPRD:00286|Vega:OTTHUMG00000131393	3p21	catenin beta 1	protein-coding
1398	CRK	CRKII|p38	MIM:164762|HGNC:HGNC:2362|Ensembl:ENSG00000167193|HPRD:01267|Vega:OTTHUMG00000090317	17p13.3	v-crk avian sarcoma virus CT10 oncogene homolog	protein-coding
11214	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	MIM:604686|HGNC:HGNC:371|Ensembl:ENSG00000170776|HPRD:05253|Vega:OTTHUMG00000172205	15q25.3	A-kinase anchoring protein 13	protein-coding
11040	PIM2	-	MIM:300295|HGNC:HGNC:8987|Ensembl:ENSG00000102096|HPRD:02244|Vega:OTTHUMG00000024132	Xp11.23	Pim-2 proto-oncogene, serine/threonine kinase	protein-coding
10413	YAP1	COB1|YAP|YAP2|YAP65|YKI	MIM:606608|HGNC:HGNC:16262|Ensembl:ENSG00000137693|HPRD:09424|Vega:OTTHUMG00000167322	11q13	Yes associated protein 1	protein-coding
1027	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	MIM:600778|HGNC:HGNC:1785|Ensembl:ENSG00000111276|HPRD:02867|Vega:OTTHUMG00000149914	12p13.1-p12	cyclin-dependent kinase inhibitor 1B	protein-coding
999	CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	MIM:192090|HGNC:HGNC:1748|Ensembl:ENSG00000039068|HPRD:01885|Vega:OTTHUMG00000137561	16q22.1	cadherin 1	protein-coding
9935	MAFB	KRML|MCTO	MIM:608968|HGNC:HGNC:6408|Ensembl:ENSG00000204103|HPRD:07129|Vega:OTTHUMG00000033052	20q12	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B	protein-coding
990	CDC6	CDC18L|HsCDC18|HsCDC6	MIM:602627|HGNC:HGNC:1744|HPRD:04022	17q21.3	cell division cycle 6	protein-coding
988	CDC5L	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	MIM:602868|HGNC:HGNC:1743|Ensembl:ENSG00000096401|HPRD:04184|Vega:OTTHUMG00000014767	6p21	cell division cycle 5 like	protein-coding
9869	SETDB1	ESET|H3-K9-HMTase4|KG1T|KMT1E|TDRD21	MIM:604396|HGNC:HGNC:10761|Ensembl:ENSG00000143379|HPRD:06828|Vega:OTTHUMG00000035003	1q21	SET domain bifurcated 1	protein-coding
9820	CUL7	3M1|KIAA0076|dJ20C7.5	MIM:609577|HGNC:HGNC:21024|Ensembl:ENSG00000044090|HPRD:09901|Vega:OTTHUMG00000014718	6p21.1	cullin 7	protein-coding
9798	IST1	OLC1	MIM:616434|HGNC:HGNC:28977|Ensembl:ENSG00000182149|HPRD:13784|Vega:OTTHUMG00000137597	16q22.2	IST1, ESCRT-III associated factor	protein-coding
9690	UBE3C	HECTH2	MIM:614454|HGNC:HGNC:16803|Ensembl:ENSG00000009335|HPRD:15604|Vega:OTTHUMG00000157239	7q36.3	ubiquitin protein ligase E3C	protein-coding
9641	IKBKE	IKK-E|IKK-i|IKKE|IKKI	MIM:605048|HGNC:HGNC:14552|Ensembl:ENSG00000263528|HPRD:05442|Vega:OTTHUMG00000184613	1q32.1	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	protein-coding
9623	TCL1B	SYN-1|TML1	MIM:603769|HGNC:HGNC:11649|Ensembl:ENSG00000213231|HPRD:04795|Vega:OTTHUMG00000028912	14q32.1	T-cell leukemia/lymphoma 1B	protein-coding
957	ENTPD5	CD39L4|NTPDase-5|PCPH	MIM:603162|HGNC:HGNC:3367|Ensembl:ENSG00000187097|HPRD:16015|Vega:OTTHUMG00000171201	14q24	ectonucleoside triphosphate diphosphohydrolase 5	protein-coding
